Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'73239300,"Table, kitchen or other household articles, and parts thereof, of stainless steel (excluding ...",11259,10907,14138,15551,16956,19080,16377,17267,12945,13681
'85176900,"Apparatus for the transmission or reception of voice, images or other data, incl. apparatus ...",39263,4527,74488,492462,117946,35468,11875,13550,8269,13395
'84314900,"Parts of machinery of heading 8426, 8429 and 8430, n.e.s.",26170,34058,36302,29496,28430,24576,15359,11689,11421,12797
'19049000,"Cereals (excluding maize [corn]) in grain or flake form or other worked grains, pre-cooked ...",151,151,119,130,5425,1768,590,3546,8242,12706
'85068000,"Primary cells and primary batteries, electric (excluding spent, and those of silver oxide, ...",30792,29423,37215,32580,42285,31216,33593,28828,18264,12685
'30021500,"Immunological products, put up in measured doses or in forms or packings for retail sale",0,0,0,0,0,0,0,22,502,12385
'84224000,"Packing or wrapping machinery, incl. heat-shrink wrapping machinery (excluding machinery for ...",3582,3998,17998,7325,7610,13716,16410,16428,11880,12316
'29173200,Dioctyl orthophthalates,9197,12726,16733,11806,11692,8349,6695,9955,12322,12167
'28151100,"Sodium hydroxide ""caustic soda"" solid",4976,8123,5383,5852,8594,10551,14297,12705,8690,12109
'39019000,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate ...",16076,17814,35692,47721,30894,22412,14220,13547,,12039
'94054090,"Electric lamps and lighting fittings, n.e.s.: other",0,0,0,0,0,0,0,1483,11591,11976
'12099100,"Vegetable seeds, for sowing",3736,4642,6259,5044,6559,7156,6310,8623,12266,11935
'84182120,"Household refrigerators, compression-type: completely built up, cfc free",0,0,0,0,0,0,0,5288,12650,11819
'38170000,Mixed alkylbenzenes and mixed alkylnaphthalenes produced by the alkylation of benzene and naphthalene ...,1,0,0,0,837,5039,8993,7692,8703,11801
'22083000,Whiskies,5815,8446,11303,14078,16238,16504,13125,14639,10035,11796
'54071010,"Woven fabrics of high-tenacity yarn, nylon, other polyamides or polyesters, incl. monofilament ...",0,0,0,0,11069,18674,16877,14657,15271,11640
'72082700,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",2190,6007,14944,23737,15883,13018,6165,15880,11002,11630
'84371000,"Machines for cleaning, sorting or grading seed, grain or dried leguminous vegetables",5934,3948,4591,6322,3780,6200,9314,9027,11897,11540
'85444200,"Electric conductors for a voltage <= 1.000 v, insulated, fitted with connectors, n.e.s.",2352,9049,12851,5829,5986,4676,3572,15689,20660,11493
'84729090,"Office machines, n.e.s.: other",0,0,0,0,0,0,0,0,4838,11460
'94029000,"Operating tables, examination tables, and other medical, dental, surgical or veterinary furniture ...",1260,5122,13095,8196,4516,3671,3182,6243,5442,11445
'27131100,"Petroleum coke, non-calcined",1418,17019,17149,30200,22124,39763,36725,24658,9865,11340
'27150000,"Bituminous mastics, cut-backs and other bituminous mixtures based on natural asphalt, on natural ...",6911,8982,21046,15245,24787,13408,19423,29526,12955,11286
'63053300,"Sacks and bags, for the packing of goods, of polyethylene or polypropylene strip or the like ...",3580,8195,13843,16793,19402,26166,17393,13263,12196,11283
'54022000,High-tenacity filament yarn of polyesters (excluding that put up for retail sale),261,103,599,963,1826,1298,2260,2505,5918,11166
'73182900,"Non-threaded articles, of iron or steel",754,1189,2129,1017,960,1831,837,1281,2703,11155
'84291100,"Self-propelled bulldozers and angledozers, track laying",84271,63081,29347,14601,15589,21376,11134,7125,11271,11052
'76042100,"Hollow profiles of aluminium alloys, n.e.s.",2504,5175,5008,2705,7033,5015,6462,9098,10893,11024
'84502020,"Laundry-type washing machines, of a dry linen capacity > 10 kg: completely built up (cbu) form",0,0,0,0,0,0,0,0,6948,11003
'68022300,"Granite and articles thereof, simply cut or sawn, with a flat or even surface (excluding with ...",2164,2787,7927,9096,6847,7923,9452,10571,8306,10976
'63049310,"Articles for interior furnishing, of synthetic fibres (excluding knitted or crocheted, blankets ...",127,2189,91,18902,143,2157,71,154,997,10926
'15162010,"Vegetable fats and oils and their fractions, partly or wholly hydrogenated, inter-esterified, ...",26994,16910,18347,25221,33207,33261,23349,11481,19203,10869
'54025200,"Filament yarn of polyester, incl. monofilament of < 67 decitex, single, with a twist of > 50 ...",76,0,79,418,2082,3482,2312,8581,6545,10843
'19011000,"Food preparations for infant use, put up for retail sale, of flour, groats, meal, starch or ...",0,0,0,0,0,0,19276,8752,12171,10674
'61099000,"T-shirts, singlets and other vests of textile materials, knitted or crocheted (excluding cotton)",31579,40212,32899,28460,27494,23623,19279,14279,9788,10668
'21061000,Protein concentrates and textured protein substances,0,5087,2892,6193,2426,819,18,19,2478,10648
'85287110,"Reception apparatus for television, whether or not incorporating radio-broadcast receivers ...",0,0,0,0,0,0,0,1575,5454,10615
'72091800,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, in coils, simply ...",19037,6834,28644,15724,24960,25392,22089,23397,16685,10551
