Code,Product label,Imported value in 2012,Imported value in 2013,Imported value in 2014,Imported value in 2015,Imported value in 2016,Imported value in 2017,Imported value in 2018,Imported value in 2019,Imported value in 2020,Imported value in 2021
'90183100,"Syringes, with or without needles, used in medical, surgical, dental or veterinary sciences",6575,7833,6535,5119,7178,5384,6427,7436,6752,10437
'85071000,"Lead-acid accumulators of a kind used for starting piston engine ""starter batteries"" (excluding ...",7112,12333,13472,12242,15974,17819,12438,21033,18014,10417
'64061000,Uppers and parts thereof (excluding stiffeners and general parts made of asbestos),1173,1032,1422,998,1492,2069,2907,6771,10298,10313
'15159090,"Fixed vegetable fats and oils and their fractions, whether or not refined, but not chemically ...",1,0,0,0,0,1,51,19,7,10245
'48052400,"Testliner ""recycled liner board"", uncoated, in rolls of a width > 36 cm or in square or rectangular ...",3803,5530,6563,8505,7474,7333,8253,8333,8100,10235
'85447000,"Optical fibre cables made up of individually sheathed fibres, whether or not containing electric ...",8676,4702,16111,12646,12712,13467,20060,3260,7237,10142
'63061900,"Tarpaulins, awnings and sunblinds of textile materials (excluding of synthetic fibres and flat ...",506,771,955,1168,2400,3064,4092,5824,6765,10060
'73181500,"Threaded screws and bolts, of iron or steel, whether or not with their nuts and washers (excluding ...",13428,10813,20531,18680,22887,19266,17404,13953,11983,10058
'29126000,Paraformaldehyde,44,89,1,76,149,752,2387,4598,8312,10054
'84553000,Rolls for metal-rolling mills,1498,935,797,1422,5667,17588,2155,1506,2890,9990
'44071900,"Coniferous wood sawn or chipped lengthwise, sliced or peeled, whether or not planed, sanded ...",0,0,0,0,0,0,0,7894,12168,9953
'87043213,"Motor vehicles for the transport of goods, with spark-ignition internal combustion piston engine, ...",0,0,0,0,0,0,0,143,3067,9938
'04021000,"Milk and cream in solid forms, of a fat content by weight of <= 1,5%",3179,1804,1213,904,761,2219,2147,3023,7773,9925
'90221400,"Apparatus based on the use of x-rays, for medical, surgical or veterinary uses (excluding for ...",182,3152,7401,9191,330,8145,12118,14567,7450,9826
'84743100,Concrete or mortar mixers (excluding those mounted on railway wagons or lorry chassis),6925,7331,8281,10199,11857,12406,7921,2893,3803,9715
'19041000,"Prepared foods obtained by swelling or roasting cereals or cereal products, e.g. corn flakes",300,325,522,212,300,4076,8649,10559,12318,9695
'84322100,"Disc harrows for use in agriculture, horticulture or forestry",1698,2521,3770,2235,1772,1432,1442,1930,3991,9690
'87112010,"Motorcycles, incl. mopeds, with reciprocating internal combustion piston engine of a cylinder ...",0,0,0,0,0,0,0,10294,2847,9688
'39201090,"Plates, sheets, film, foil and strip, of non-cellular polymers of ethylene, not reinforced, ...",0,0,0,0,0,0,0,0,353,9650
'40169300,"Gaskets, washers and other seals, of vulcanised rubber (excluding hard rubber and those of ...",12202,15904,31316,14518,19567,13406,9543,10525,11540,9633
'90318000,"Instruments, appliances and machines for measuring or checking, not elsewhere specified in ...",4521,7173,6626,14587,27329,9450,6925,11372,8451,9571
'21069030,"Food preparations, n.e.s.: of a kind used in alcoholic drinks industries",88,163,250,671,61,842,1843,276,728,9567
'85352900,"Automatic circuit breakers for a voltage >= 72,5 kv",24063,5451,5715,5514,15472,23333,3733,7353,4280,9524
'85072010,Lead acid accumulators (excluding spent and starter batteries): designed for solar energy sources,206,498,1175,9548,6719,5565,5249,14057,10828,9461
'84294000,Self-propelled tamping machines and roadrollers,12234,26085,17640,14195,10539,8647,12567,4593,10233,9444
'40151920,"Gloves, mittens and mitts, of vulcanised rubber (excluding surgical gloves): for medical examination ...",3241,2426,2222,2157,1268,2880,6667,3910,2995,9408
'40151990,"Gloves, mittens and mitts, of vulcanised rubber (excluding surgical gloves): other",332,568,339,486,662,629,594,712,1092,9366
'38244000,"Prepared additives for cements, mortars or concretes",11581,13574,23489,14916,14616,13365,12385,5489,7514,9336
'72149900,"Bars and rods, of iron or non-alloy steel, only hot-rolled, only hot-drawn or only hot-extruded ...",20044,55254,12198,40232,17967,8057,8128,5077,3932,9326
'04022100,"Milk and cream in solid forms, of a fat content by weight of > 1,5%, unsweetened",3991,825,1398,2981,4545,5344,6436,6436,16363,9168
'40151100,"Surgical gloves, of vulcanised rubber (excluding fingerstalls)",6819,3493,3751,4303,2418,5055,9890,14841,9157,9121
'85235200,"Cards incorporating one or more electronic integrated circuits ""smart cards""",2351,4590,2537,3751,1871,1355,4138,4297,4205,9107
'39011000,"Polyethylene with a specific gravity of < 0,94, in primary forms",13283,12306,10272,11489,13160,13643,15472,13213,,9071
'83011000,Padlocks of base metal,4721,5476,6221,5792,6633,5984,7004,10264,6096,9068
'15151910,"Linseed oil and fractions thereof, whether or not refined, but not chemically modified (excluding ...",2,217,13,138,9,2,19,4,9028,9064
'72104900,"Flat-rolled products of iron or non-alloy steel, of a width of >= 600 mm, hot-rolled or cold-rolled ...",37459,41894,39329,48261,39678,30791,29513,24736,9361,9002
'70133700,Drinking glasses (excluding glasses of glass ceramics or of lead crystal and stemware),3852,5931,7480,7858,7404,8442,5709,9809,6902,8952
'39174090,"Fittings, e.g. joints, elbows, flanges, of plastics, for tubes, pipes and hoses: other",0,0,0,0,0,0,0,0,4588,8928
'62033900,"Men's or boys' jackets and blazers of textile materials (excluding of wool, fine animal hair, ...",2215,3216,6705,7071,12026,8900,8263,7358,9414,8876
'84089000,"Compression-ignition internal combustion piston engine ""diesel or semi-diesel engine"" (excluding ...",6745,7281,15148,7355,12391,29413,10666,6560,9639,8863
'84145900,"Fans (excluding table, floor, wall, window, ceiling or roof fans, with a self-contained electric ...",3072,4839,19927,10049,12956,13501,14922,11836,12316,8794
'73082000,"Towers and lattice masts, of iron or steel",110321,32482,271753,110293,82102,22421,27065,27616,45747,8778
'84773000,Blow-moulding machines for working rubber or plastics,2455,3270,3912,4089,4926,8787,7684,14805,8825,8676
'84133000,"Fuel, lubricating or cooling medium pumps for internal combustion piston engine",9473,14006,11569,9568,15219,8507,11269,8434,5990,8671
'32061100,Pigments and preparations based on titanium dioxide of a kind used for colouring any material ...,2170,2092,5312,3634,4089,3372,6200,9723,5618,8581
'84158200,Air conditioning machines incorporating a refrigerating unit but without a valve for reversal ...,0,0,4226,1455,1996,4045,11126,10518,3598,8526
'10011100,Durum wheat seed for sowing,0,0,35,71,117,0,0,0,444,8518
'42022900,"Handbags, whether or not with shoulder strap, incl. those without handle, with outer surface ...",2690,3715,3971,5174,5760,5765,4825,6940,6066,8504
'63061200,"Tarpaulins, awnings and sunblinds of synthetic fibres (excluding flat covers of light fabrics ...",4070,3353,3088,3180,4200,2999,2510,3415,3447,8496
'90181200,Ultrasonic scanning apparatus,1338,2446,1818,1988,2968,3216,3860,4965,3818,8443
'10081000,Buckwheat,0,0,0,0,0,0,0,0,2741,8387
'84388000,"Machinery for the industrial preparation or manufacture of food or drink, n.e.s.",0,0,10388,4542,9880,5337,31343,8583,812,8293
'84771000,Injection-moulding machines for working rubber or plastics,7859,7228,13241,15125,16874,17411,18587,18565,15833,8262
'56031100,"Nonwovens, whether or not impregnated, coated, covered or laminated, n.e.s., of synthetic or ...",377,383,583,1649,937,485,425,684,9992,8232
'70052900,"Float glass and surface ground and polished glass, in sheets, but not otherwise worked (excluding ...",2617,2950,2525,3227,4697,6778,4739,6252,5915,8160
'87043113,"Motor vehicles for the transport of goods, with spark-ignition internal combustion piston engine, ...",0,0,0,0,0,0,0,1463,20105,8147
'69109000,"Ceramic sinks, washbasins, washbasin pedestals, baths, bidets, water closet pans, flushing ...",3973,4749,5124,6252,6469,9231,6801,6039,8349,8067
'87021030,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...",0,0,0,0,0,0,0,0,,7999
'39042200,"Plasticised poly""vinyl chloride"", in primary forms, mixed with other substances",11603,10259,13098,9003,6951,5692,7155,8411,8148,7942
'85114000,Starter motors and dual purpose starter-generators of a kind used for spark-ignition or compression-ignition ...,3621,3310,6403,6540,8921,5158,14815,14839,6662,7920
'84198900,"Machinery, plant or laboratory equipment, whether or not electrically heated, for the treatment ...",4269,7603,3714,16647,12720,9168,7063,10580,10380,7885
'39029000,"Polymers of propylene or of other olefins, in primary forms (excluding polypropylene, polyisobutylene ...",10889,10071,17873,15491,7293,11494,7570,10638,7615,7825
'94018000,"Seats, n.e.s.",6936,7161,8588,10480,10163,11016,8756,7996,7220,7824
'85287220,"Reception apparatus for television, colour, whether or not incorporating radio-broadcast receivers ...",0,0,0,0,0,0,0,246,328,7781
'38231900,"Fatty acids, industrial, monocarboxylic; acid oils from refining (excluding stearic acid, oleic ...",18434,20535,22877,21136,26255,20836,17348,18129,12810,7761
'90278000,"Instruments and apparatus for physical or chemical analysis, or for measuring or checking viscosity, ...",4756,7947,7281,4894,6115,9924,6956,12867,12833,7717
'76042900,"Bars, rods and solid profiles, of aluminium alloys, n.e.s.",7756,8776,12512,13510,21782,17316,18779,12944,14111,7712
'60019900,"Pile fabrics, knitted or crocheted (excluding cotton or man-made fibres and ""long pile"" fabrics)",58,74,77,337,1266,2622,2208,6111,6631,7671
'73063000,"Tubes, pipes and hollow profiles, welded, of circular cross-section, of iron or non-alloy steel ...",5158,4405,5154,61598,50728,9648,3976,5837,12414,7552
'84798990,"Machines and mechanical appliances, n.e.s.: other machine. ,having individual functions,nes(excl ...",2716,2354,7599,11801,8483,15435,13674,17958,11746,7543
'85414000,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in ...",7214,9660,8909,17790,12128,10446,16686,7977,6328,7531
'84183020,"Freezers of the chest type, of a capacity <= 800 l: completely built up, cfc free",0,0,0,0,0,0,0,1183,2152,7504
'87021010,"Motor vehicles for the transport of >= 10 persons, incl. driver, with compression-ignition ...",42913,47561,51296,68750,62246,58431,29925,36474,902,7446
'96081000,Ball-point pens,7013,7718,11077,9682,10362,10387,8926,13013,7151,7437
'64062000,"Outer soles and heels, of rubber or plastics",899,556,1554,1617,1793,1884,2353,3885,3596,7394
'84714190,"Data-processing machines, automatic, comprising in the same housing at least a central processing ...",5486,3073,1752,1872,1074,7225,2234,4764,4689,7354
'73043900,"Tubes, pipes and hollow profiles, seamless, of circular cross-section, of iron or non-alloy ...",1575,1150,823,2351,7642,4028,1246,8500,20748,7338
'52094200,"Denim, containing >= 85% cotton by weight and weighing > 200 g/m², made of yarn of different ...",0,2,1,3,1,205,1352,5097,2894,7321
'84798900,"Machines and mechanical appliances, n.e.s.",0,0,0,0,0,0,0,0,,7298
'84195000,"Heat-exchange units (excluding instantaneous heaters, storage water heaters, boilers and equipment ...",416,3830,2697,5166,14350,8421,10578,4781,10737,7257
'84378000,Machinery used in the milling industry or for the working of cereals or dried leguminous vegetables ...,7328,5891,6928,12426,13533,8074,12568,8999,13745,7224
'39019010,"Polymers of ethylene, in primary forms (excluding polyethylene and ethylene-vinyl acetate copolymers): ...",0,0,0,0,0,0,0,4111,13110,7212
'83111000,"Coated electrodes of base metal, for electric arc-welding",4024,9052,4838,7065,8173,6034,6474,6777,7764,7209
'84099190,Parts suitable for use solely or principally with spark-ignition internal combustion piston ...,9144,7201,7572,6774,7739,6412,5131,7121,6950,7208
'33021000,"Mixtures of odoriferous substances and mixtures, incl. alcoholic solutions, with a basis of ...",0,0,0,0,0,0,0,0,,7153
'84091000,"Parts suitable for use solely or principally with internal combustion piston engine for aircraft, ...",42,3205,591,2713,3135,794,851,950,1953,7091
'84749000,"Parts of machinery for working mineral substances of heading 8474, n.e.s.",11193,11811,26545,19018,19524,10479,11557,11590,8880,7049
'39091000,"Urea resins and thiourea resins, in primary forms",2539,3708,4357,3877,4376,5889,4117,3447,4438,7036
'84748000,"Machinery for agglomerating, shaping or moulding solid mineral fuels, ceramic paste, unhardened ...",7786,3687,34154,17739,14554,12416,13578,10090,12726,6982
'38249990,"Chemical products and preparations of the chemical or allied industries, incl. those consisting ...",0,0,0,0,0,0,0,3795,7313,6979
'94051090,Chandeliers and other electric ceiling or wall lighting fittings (excluding for lighting public ...,0,0,0,0,0,0,0,0,1585,6975
'84439910,"Parts and accessories of printers, copying machines and facsimile machines, n.e.s. (excluding ...",9895,10819,10807,11775,10160,10347,8613,8220,7824,6939
'39052100,"Vinyl acetate copolymers, in aqueous dispersion",340,1529,2176,5933,8672,5299,5296,11852,5473,6933
'49019900,"Printed books, brochures and similar printed matter (excluding those in single sheets; dictionaries, ...",44686,33904,13919,11210,26229,14051,23274,19833,10200,6916
'84192000,"Medical, surgical or laboratory sterilizers",1945,1931,2624,3474,4226,3914,4077,6474,3200,6896
'47032100,"Semi-bleached or bleached coniferous chemical wood pulp, soda or sulphate (excluding dissolving ...",4564,7550,3722,4678,5097,2682,4495,4059,6563,6850
'70051000,"Float glass and surface ground or polished glass, in sheets, having an absorbent, reflecting ...",1343,1822,1698,1141,3834,4463,5614,8828,5442,6782
'84518000,"Machinery for dressing, finishing, coating or impregnating textile yarns, fabrics or other ...",11335,3216,4244,6018,5657,13009,10938,8388,6211,6733
'32041700,Synthetic organic pigments; preparations based on synthetic organic pigments of a kind used ...,4801,5762,8599,7947,8438,7156,5126,6268,3957,6710
'84212310,Oil or petrol-filters for internal combustion engines: oil or petrol filters for road motor ...,9799,13011,13956,12062,15314,9206,7917,10629,9041,6632
'76109000,"Structures and parts of structures, of aluminium, n.e.s., and plates, rods, profiles, tubes ...",3783,4605,4344,8586,11729,13374,7175,13187,26544,6622
'84807900,Moulds for rubber or plastics (other than injection or compression types),3282,4376,5912,5174,8525,4330,6470,6895,5375,6619
'39262000,Articles of apparel and clothing accessories produced by the stitching or sticking together ...,296,251,361,281,430,441,308,534,1793,6601
'68041000,"Millstones and grindstones, without frameworks, for milling, grinding or pulping",3114,4294,4093,2952,3532,2976,2969,5275,3770,6570
'84433100,"Machines which perform two or more of the functions of printing, copying or facsimile transmission, ...",5567,9345,13632,12125,14277,12005,11750,15318,12980,6555
'73083000,"Doors, windows and their frames and thresholds for doors, of iron or steel",2160,4582,5557,7796,4756,14009,7152,5157,22202,6543
'84772000,Extruders for working rubber or plastics,4285,3746,4805,8292,7327,10663,7874,14624,8268,6538
'84291900,"Self-propelled bulldozers and angledozers, on wheels",34151,37246,24365,6878,3170,9274,2952,2477,4625,6535
'84283900,"Continuous-action elevators and conveyors, for goods or materials (excluding those for underground ...",1193,6929,7850,9040,21909,11537,9951,10737,3879,6499
'84472090,Flat knitting machines; stitch-bonding machines: other flat knitting machines; stitch-bonding ...,482,5458,754,522,844,163,1252,1498,4947,6493
